Generation,Best,Worst,Average
303,39,25,31.9375
304,45,16,29.8125
305,40,21,31.8125
306,40,25,32.8125
307,42,17,30.25
308,49,7,31.1875
309,42,19,32.375
310,40,14,33.6875
311,42,11,33.9375
312,42,20,31.375
313,43,22,33.625
314,37,23,31.375
315,41,21,29.875
316,41,16,31.6875
317,40,13,32.0625
318,43,15,28.5
319,40,9,27.8125
320,38,9,27.375
321,40,18,31.0
322,45,19,32.1875
323,43,26,34.0
324,45,13,28.3125
325,38,20,30.4375
326,38,9,28.75
327,41,22,33.5
328,45,10,29.5625
329,40,11,31.6875
330,39,17,31.8125
331,42,20,31.3125
332,42,20,32.4375
333,44,20,33.375
334,43,17,30.8125
335,47,22,33.25
336,36,6,27.875
337,40,23,32.0625
338,43,24,32.6875
339,42,20,31.4375
340,37,22,31.0625
341,48,7,30.625
342,47,22,33.125
343,41,10,31.6875
344,36,23,30.9375
345,39,9,31.625
346,43,23,33.125
347,41,22,31.8125
348,39,12,30.5
349,40,16,32.4375
350,50,19,32.8125
351,48,27,34.25
352,39,24,33.3125
353,39,26,32.3125
354,41,15,30.5
355,48,25,35.5
356,42,25,30.4375
357,46,9,28.6875
358,43,14,32.375
359,39,6,27.1875
360,42,16,31.75
361,44,25,33.375
362,41,21,31.9375
363,41,20,32.25
364,39,15,30.5625
365,40,14,31.125
366,44,14,32.5
367,43,16,28.75
368,41,19,31.5625
369,42,12,30.0625
370,44,24,33.25
371,42,22,31.6875
372,42,19,32.0625
373,47,11,34.0
374,38,23,31.375
375,42,19,30.375
376,39,8,30.75
377,43,21,33.6875
378,39,17,30.3125
379,36,19,28.3125
380,46,21,32.6875
381,40,20,31.375
382,43,8,31.0
383,46,28,36.0
384,43,22,31.125
385,44,14,32.875
386,42,14,31.25
387,43,13,30.875
388,38,21,29.0
389,44,19,31.5625
390,40,11,30.0
391,46,11,28.5625
392,38,25,32.1875
393,39,29,34.0625
394,42,21,32.6875
395,41,20,31.0
396,45,18,32.125
397,41,12,29.375
398,44,23,31.6875
399,40,23,32.6875
400,38,24,32.75
401,43,20,32.1875
402,40,23,31.5625
403,40,15,31.8125
404,42,20,31.8125
405,42,10,30.25
406,36,15,29.0
407,35,18,29.8125
408,41,22,30.5
409,40,23,32.875
410,40,27,32.9375
411,44,10,29.75
412,43,23,31.375
413,44,12,32.875
414,44,19,32.1875
415,38,22,31.1875
416,37,17,28.5625
417,44,22,34.5625
418,37,13,29.5
419,41,21,33.5
420,38,17,30.9375
421,40,24,33.1875
422,41,26,34.6875
423,43,25,32.625
424,45,27,33.5625
425,40,27,33.5625
426,44,28,34.6875
427,43,17,33.0
428,42,19,31.875
429,40,13,30.875
430,35,21,30.5625
431,41,19,32.0
432,41,24,34.0625
433,44,24,31.375
434,45,26,34.3125
435,41,23,32.25
436,44,25,34.6875
437,37,25,31.875
438,42,23,32.625
439,39,21,32.75
440,40,26,32.9375
441,44,27,33.1875
442,37,8,28.3125
443,40,19,31.4375
444,38,9,30.75
445,42,19,32.125
446,39,20,31.0625
447,49,27,33.5
448,45,29,33.875
449,41,14,32.0625
450,43,19,33.25
451,43,8,32.4375
452,44,20,34.4375
453,43,28,34.4375
454,41,22,32.625
455,45,24,32.875
456,41,26,32.0625
457,47,28,32.875
458,45,24,33.9375
459,39,7,28.5625
460,40,24,33.9375
461,45,20,34.25
462,39,25,32.0625
463,42,11,32.0625
464,41,22,32.6875
465,43,28,35.9375
466,40,27,32.4375
467,43,21,32.25
468,40,24,31.5625
469,43,22,32.0625
470,46,26,33.6875
471,39,17,32.75
472,39,26,32.0625
473,39,6,30.0625
474,41,20,32.125
475,41,19,33.6875
476,48,28,34.5
477,39,16,31.6875
478,42,27,33.0625
479,39,21,32.0
480,42,20,31.75
481,41,12,30.25
482,44,21,33.0
483,42,19,29.9375
484,40,21,32.5625
485,42,27,34.6875
486,46,13,32.75
487,41,24,34.3125
488,45,28,34.75
489,49,14,26.8125
490,43,19,29.3125
491,39,23,32.5
492,41,22,33.1875
493,35,22,30.3125
494,46,19,32.875
495,43,13,30.1875
496,41,20,31.3125
497,39,12,29.5
498,43,5,28.6875
499,44,19,33.25
500,46,23,36.375
501,41,14,30.75
502,48,18,32.375
503,41,11,30.0
504,46,16,32.4375
505,39,21,31.375
506,40,27,34.25
507,38,9,29.375
508,41,27,33.5
509,45,24,33.125
510,36,11,28.875
511,39,23,30.75
512,41,27,33.8125
513,46,17,31.5
514,42,20,30.125
515,46,20,32.75
516,43,18,31.6875
517,48,9,30.3125
518,41,10,31.9375
519,41,17,29.4375
520,42,20,31.5
521,36,26,32.1875
522,43,17,29.9375
523,45,22,32.125
524,46,11,29.4375
525,41,16,32.9375
526,43,20,31.6875
527,41,19,30.375
528,40,13,28.1875
